date,activity_level,Latitude,Longitude
Aug-10-2013,1,32.806671,-86.79113000000001
Aug-03-2013,1,32.806671,-86.79113000000001
Jul-27-2013,1,32.806671,-86.79113000000001
Jul-20-2013,1,32.806671,-86.79113000000001
Jul-13-2013,1,32.806671,-86.79113000000001
Jul-06-2013,1,32.806671,-86.79113000000001
Jun-29-2013,1,32.806671,-86.79113000000001
Jun-22-2013,1,32.806671,-86.79113000000001
Jun-15-2013,1,32.806671,-86.79113000000001
Jun-08-2013,1,32.806671,-86.79113000000001
Jun-01-2013,1,32.806671,-86.79113000000001
May-25-2013,1,32.806671,-86.79113000000001
May-18-2013,1,32.806671,-86.79113000000001
May-11-2013,1,32.806671,-86.79113000000001
Apr-27-2013,1,32.806671,-86.79113000000001
May-04-2013,1,32.806671,-86.79113000000001
Apr-13-2013,1,32.806671,-86.79113000000001
Apr-06-2013,1,32.806671,-86.79113000000001
Apr-20-2013,1,32.806671,-86.79113000000001
Nov-10-2012,1,32.806671,-86.79113000000001
Nov-03-2012,1,32.806671,-86.79113000000001
Oct-27-2012,1,32.806671,-86.79113000000001
Oct-20-2012,1,32.806671,-86.79113000000001
Oct-13-2012,1,32.806671,-86.79113000000001
Oct-06-2012,1,32.806671,-86.79113000000001
Sep-29-2012,1,32.806671,-86.79113000000001
Sep-22-2012,1,32.806671,-86.79113000000001
Sep-15-2012,1,32.806671,-86.79113000000001
Sep-08-2012,1,32.806671,-86.79113000000001
Sep-01-2012,1,32.806671,-86.79113000000001
Aug-25-2012,1,32.806671,-86.79113000000001
Aug-18-2012,1,32.806671,-86.79113000000001
Aug-11-2012,1,32.806671,-86.79113000000001
Aug-04-2012,1,32.806671,-86.79113000000001
Jul-28-2012,1,32.806671,-86.79113000000001
Jul-21-2012,1,32.806671,-86.79113000000001
Jul-14-2012,1,32.806671,-86.79113000000001
Jul-07-2012,1,32.806671,-86.79113000000001
Jun-30-2012,1,32.806671,-86.79113000000001
Jun-23-2012,1,32.806671,-86.79113000000001
Jun-16-2012,1,32.806671,-86.79113000000001
Jun-09-2012,1,32.806671,-86.79113000000001
Oct-08-2011,1,32.806671,-86.79113000000001
Oct-01-2011,1,32.806671,-86.79113000000001
Oct-15-2011,1,32.806671,-86.79113000000001
Sep-24-2011,1,32.806671,-86.79113000000001
Sep-10-2011,1,32.806671,-86.79113000000001
Sep-17-2011,1,32.806671,-86.79113000000001
Sep-03-2011,1,32.806671,-86.79113000000001
Aug-27-2011,1,32.806671,-86.79113000000001
Aug-20-2011,1,32.806671,-86.79113000000001
